교과목명,학정번호,학점
세포배양실험,BST4027,2
주니어세미나,BTE2001,1
물리화학,BTE2101,3
생물유기화학,BTE2201,3
일반미생물학,BTE2202,3
응용미생물학,BTE2402,3
생물회로공학,BTE2403,3
생명공학기초실험(1),BTE2601,3
유전학분석,BTE2702,3
생명공학정보처리,BTE2703,3
생명공학개론,BTE2704,3
생명공학수학,BTE2705,3
세포생명공학,BTE3101,3
분자생물학,BTE3102,3
식품생화학,BTE3103,3
의약생물소재화학,BTE3104,3
신경과학·뇌과학2,BTE3105,3
생물전달현상,BTE3201,3
바이오시스템·공정공학,BTE3202,3
미생물생명공학,BTE3402,3
면역학,BTE3403,3
식품생물재료공학,BTE3404,3
생리활성물질,BTE3406,3
식품공정공학,BTE3407,3
생명공학기기분석,BTE3408,3
생물분리공정,BTE3503,3
대사공학,BTE3506,3
계산화학,BTE3510,3
생명공학기초실험(2),BTE3601,3
생명공학전공실험 I,BTE3602,3
생명공학전공실험 II,BTE3603,3
생리학,BTE3607,3
화학생물학,BTE3608,3
나노의생명공학,BTE3609,3
바이오엔지니어현장실습(1),BTE4001,3
분자생명공학,BTE4401,3
생명정보학,BTE4402,3
분자설계및실습,BTE4404,3
바이오식품산업공학,BTE4408,3
지식기반신약개발방법론,BTE4409,3
의약화학,BTE4501,3
생명공학창의설계,BTE4601,3
생명공학캡스톤디자인,BTE4602,3
기능유전체학,BTE4603,3
생물의약개론,BTE4604,3
생명공학논문작성법,BTE4605,3
생명공학발명과특허,BTE4606,3
세포조직공학개론,BTE4609,3
바이러스와숙주,BTE4610,3
바이오폴리머개론,BTE4611,3
바이오시스템공학,BTE4612,3
건강기능식품학,BTE4613,3
재생바이오공학,BTE4614,3
진단생명공학,BTE4615,3
단백질설계공학,BTE4616,3
컴퓨터프로그래밍,CAS1100,3
객체지향프로그래밍,CAS1102,3
컴퓨팅개론,CAS1103,3
주니어세미나,CAS2001,1
이산구조,CAS2101,3
자료구조,CAS2103,3
컴퓨터과학입문,CAS2106,3
컴퓨터시스템,CAS2107,3
인터넷프로그래밍,CAS2109,3
논리회로설계,CAS2111,3
멘토세미나,CAS2130,1
딥러닝기초수학,CAS2230,3
인공지능개론△,CAS2250,3
운영체제○,CAS3101,3
컴퓨터아키텍쳐□,CAS3102,3
프로그래밍언어구조론,CAS3103,3
데이터베이스,CAS3105,3
소프트웨어공학,CAS3106,3
시스템프로그래밍,CAS3107,3
알고리즘분석○,CAS3108,3
오토마타형식언어,CAS3109,3
컴퓨터비전,CAS3116,3
컴퓨팅연구과제1,CAS3119,1
기계학습△,CAS3120,3
컴퓨팅연구과제2,CAS3121,1
심층신경망,CAS3201,3
컴퓨터그래픽스,CAS3205,3
인공지능,CAS3208,3
인공지능신호처리,CAS3210,3
자연어처리,CAS3301,3
인공지능시스템□,CAS3400,3
컴퓨터종합설계○,CAS4101,3
인공지능종합설계△,CAS4102,3
컴파일러설계,CAS4104,3
컴퓨터네트워크,CAS4106,3
인간과컴퓨터인터페이스,CAS4107,3
데이터프라이버시,CAS4108,3
컴퓨터보안,CAS4109,3
소프트웨어인턴쉽(1),CAS4113,3
소프트웨어인턴쉽(2),CAS4114,3
데이터마이닝,CAS4117,3
임베디드컴퓨팅,CAS4118,3
멀티코어및GPU프로그래밍,CAS4119,3
빅데이터,CAS4121,3
미래컴퓨터과학전공탐색,CAS4130,1
커넥티드플랫폼이론과실제,CAS4131,3
거대언어모델,CAS4133,3
인공지능융합실습,CAS4140,3
데이터시각화입문,CAS4150,3
SW.AI비지니스응용설계,CAS4151,3
강화학습,CAS4160,3
멀티모달딥러닝,CAS4201,3
INTRODUCTION TO CULTURE AND DESIGN MANAGEMENT,CDM1001,3
